type,main_condition,condition_value,sub_condition,sub_condition_value,pfs_0,pfs_0_months_mean,pfs_0_months_std,pfs_1,pfs_1_months_mean,pfs_1_months_std,pfs_1_perc,dss_0,dss_0_months_mean,dss_0_months_std,dss_1,dss_1_months_mean,dss_1_months_std,dss_1_perc,proportion_val_1_pfs,proportion_val_1_pfs_chi2_p,proportion_val_2_pfs,proportion_val_2_pfs_chi2_p,proportion_val_1_dds,proportion_val_1_dds_chi2_p,proportion_val_2_dds,proportion_val_2_dds_chi2_p,significance_level,significance
chemo_0_hormo_0,grade,1,,,39,158.28,100.07,14,65.84,57.37,26.42,40,157.35,99.24,13,61.61,55.78,24.53,1.0814,0.903491,0.5821,0.106751,0.5826,0.547052,0.4982,0.057196,,0
chemo_0_hormo_0,grade,2,,,129,154.65,88.02,87,77.44,63.29,40.28,149,142.98,88.12,66,81.10,69.35,30.70,0.7197,0.091724,0.7048,0.002691,0.8026,0.335534,0.8638,0.271433,PFS 2nd (p<0.05),1
chemo_0_hormo_0,grade,3,,,145,169.45,91.78,80,43.98,46.52,35.56,145,166.77,90.32,79,46.22,57.82,35.27,1.0576,0.6528,1.1752,0.13615,1.0975,0.454103,1.0488,0.675513,,0
chemo_0_hormo_1,grade,1,,,77,95.12,66.44,14,62.80,40.41,15.38,79,94.58,66.06,11,65.13,38.37,12.22,1.3004,0.651742,0.5821,0.106751,0.5458,0.531237,0.4982,0.057196,,0
chemo_0_hormo_1,grade,2,,,285,116.36,75.12,113,64.00,48.69,28.39,291,113.70,75.81,105,68.65,50.08,26.52,0.6978,0.075576,0.7048,0.002691,0.4623,0.002118,0.8638,0.271433,"PFS 2nd (p<0.05), DDS (p<0.05)",1
chemo_0_hormo_1,grade,3,,,202,130.53,75.01,145,52.73,49.67,41.79,218,119.80,74.69,128,59.20,58.95,36.99,0.9306,0.571094,1.1752,0.13615,0.9227,0.566447,1.0488,0.675513,,0
chemo_1_hormo_0,grade,1,,,5,47.18,26.37,2,17.73,16.55,28.57,6,40.32,28.96,1,29.43,nan,14.29,1.0814,0.903491,0.7,0.654992,0.5826,0.547052,0.4668,0.562591,,0
chemo_1_hormo_0,grade,2,,,49,86.19,102.88,20,50.00,40.24,28.99,52,84.05,100.61,17,50.16,40.70,24.64,0.7197,0.091724,0.6833,0.161425,0.8026,0.335534,0.4976,0.033797,DDS (p<0.05),1
chemo_1_hormo_0,grade,3,,,136,106.92,92.97,82,24.92,21.47,37.61,133,104.19,90.85,84,30.85,46.34,38.71,1.0576,0.6528,1.034,0.814611,1.0975,0.454103,0.8817,0.396809,,0
chemo_1_hormo_1,grade,1,,,12,56.78,43.82,3,73.30,15.00,20.00,14,60.34,41.34,1,56.50,nan,6.67,1.3004,0.651742,0.7,0.654992,0.5458,0.531237,0.4668,0.562591,,0
chemo_1_hormo_1,grade,2,,,85,57.79,48.26,21,59.35,44.56,19.81,93,58.15,48.18,13,57.81,42.66,12.26,0.6978,0.075576,0.6833,0.161425,0.4623,0.002118,0.4976,0.033797,"DDS (p<0.05), DDS (p<0.05)",1
chemo_1_hormo_1,grade,3,,,77,88.03,71.77,49,41.77,37.76,38.89,83,87.15,70.26,43,37.00,33.79,34.13,0.9306,0.571094,1.034,0.814611,0.9227,0.566447,0.8817,0.396809,,0
chemo_0,grade,1,,,116,116.36,84.40,28,64.32,48.72,19.44,119,115.68,83.82,24,63.22,47.61,16.78,1.1692,0.719337,,,0.5417,0.356581,,,,0
chemo_0,grade,2,,,414,128.29,81.22,200,69.85,55.76,32.57,440,123.62,81.28,171,73.45,58.40,27.99,0.7194,0.020507,,,0.6124,0.003742,,,"PFS (p<0.05), DDS (p<0.05)",1
chemo_0,grade,3,,,347,146.79,84.52,225,49.62,48.65,39.34,363,138.56,84.38,207,54.25,58.72,36.32,0.968,0.706073,,,1.0195,0.829109,,,,0
chemo_1,grade,1,,,17,53.96,38.92,5,51.07,33.28,22.73,20,54.34,38.45,2,42.97,19.14,9.09,1.1692,0.719337,,,0.5417,0.356581,,,,0
chemo_1,grade,2,,,134,68.18,74.02,41,54.79,42.24,23.43,145,67.44,72.27,30,53.47,41.01,17.14,0.7194,0.020507,,,0.6124,0.003742,,,"PFS (p<0.05), DDS (p<0.05)",1
chemo_1,grade,3,,,213,100.09,86.22,131,31.22,29.68,38.08,216,97.64,83.78,127,32.94,42.47,37.03,0.968,0.706073,,,1.0195,0.829109,,,,0
hormon_0,grade,1,,,44,145.66,100.93,16,59.83,56.04,26.67,46,142.08,101.07,14,59.31,54.28,23.33,0.6014,0.09925,,,0.4899,0.043486,,,DDS (p<0.05),1
hormon_0,grade,2,,,178,135.80,97.02,107,72.31,60.46,37.54,201,127.74,94.85,83,74.76,65.53,29.23,0.7083,0.001329,,,0.8043,0.077461,,,PFS (p<0.05),1
